	BodyShapeI	Length	Environment	Habitat	DepthRangeShallow	DepthRangeDeep	ReproMode	Fertilization	RepGuild1
Pseudorhombus russellii	shortand/ordeep	23	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Pseudorhombus spinosus	shortand/ordeep	30	saltwater	demersal	NA	NA	dioecism	external	nonguarders
Pseudorhombus triocellatus	shortand/ordeep	15	saltwater	demersal	NA	17	dioecism	external	nonguarders
Pseudoscopelus altipinnis	fusiform/normal	20	saltwater	bathypelagic	30	2390	NA	NA	NA
Pseudoscopelus australis	elongated	17	saltwater	bathydemersal	250	1250	NA	NA	NA
Pseudoscopelus cordilluminatus	elongated	9.729999542	saltwater	bathypelagic	537	1164	NA	NA	NA
Pseudoscopelus lavenbergi	elongated	18.10000038	saltwater	bathypelagic	0	2100	NA	NA	NA
Pseudoscopelus obtusifrons	elongated	18	saltwater	bathypelagic	124	2250	NA	NA	NA
Pseudoscopelus scriptus	elongated	15.5	saltwater	bathypelagic	250	1370	NA	NA	NA
Pseudoscopelus scutatus	Elongated	5.099999905	saltwater	bathypelagic	NA	100	NA	NA	NA
Pseudotolithus elongatus	fusiform/normal	47	saltwater/brack/fresh	demersal	0	100	NA	NA	NA
Pseudotolithus senegalensis	fusiform/normal	114	saltwater	demersal	0	70	dioecism	external	nonguarders
Pseudotolithus senegallus	fusiform/normal	230	saltwater/brack	demersal	0	150	NA	NA	NA
Pseudotolithus typus	fusiform/normal	140	saltwater	demersal	0	150	NA	NA	NA
Pseudotriacanthus strigilifer	shortand/ordeep	25	saltwater/brack	demersal	2	110	NA	NA	NA
Pseudotriakis microdon	elongated	269	saltwater	bathydemersal	173	1890	dioecism	internal(oviduct)	bearers
Pseudotrypauchen multiradiatus	elongated	9.010000229	brack/fresh	demersal	NA	NA	NA	NA	NA
Pseudupeneus grandisquamis	fusiform/normal	30	saltwater	demersal	1	67	dioecism	external	nonguarders
Pseudupeneus maculatus	fusiform/normal	30	saltwater	reef-associated	0	90	dioecism	external	nonguarders
Pseudupeneus prayensis	fusiform/normal	55	saltwater	demersal	10	300	NA	NA	NA
Psychrolutes occidentalis	Elongated	11.06000042	saltwater	bathydemersal	350	704	NA	NA	NA
Ptarmus jubatus	fusiform/normal	8.5	saltwater	demersal	NA	NA	NA	NA	NA
Pteraclis aesticola	elongated	61	saltwater	benthopelagic	0	100	NA	NA	NA
Pteraclis velifera	fusiform/normal	50	saltwater	pelagic-oceanic	NA	NA	NA	NA	NA
Pteragogus cryptus	fusiform/normal	9.5	saltwater	reef-associated	2	67	dioecism	external	nonguarders
Pteragogus enneacanthus	fusiform/normal	15	saltwater	reef-associated	2	64	dioecism	external	NA
Pteragogus flagellifer	fusiform/normal	20	saltwater	reef-associated	2	78	dioecism	external	NA
Pteragogus pelycus	fusiform/normal	15	saltwater	demersal	NA	NA	dioecism	external	NA
Pteragogus taeniops	fusiform/normal	15	saltwater	demersal	NA	NA	dioecism	external	NA
Pteragogus variabilis	shortand/ordeep	5.800000191	saltwater	reef-associated	0	71	dioecism	external	NA
Ptereleotris calliura	elongated	12.5	saltwater	reef-associated	5	50	NA	NA	NA
Ptereleotris carinata	elongated	8.279999733	saltwater	demersal	12	25	NA	NA	NA
Ptereleotris evides	elongated	14	saltwater	reef-associated	2	15	dioecism	external	guarders
Ptereleotris grammica	elongated	10	saltwater	reef-associated	30	60	NA	NA	NA
Ptereleotris hanae	elongated	12	saltwater	reef-associated	3	50	NA	NA	NA
Ptereleotris helenae	elongated	12	saltwater	reef-associated	3	60	dioecism	external	guarders
Ptereleotris heteroptera	elongated	14	saltwater	reef-associated	5	46	dioecism	NA	NA
Ptereleotris microlepis	elongated	13	saltwater	reef-associated	1	50	dioecism	external	guarders
Ptereleotris monoptera	elongated	12	saltwater	reef-associated	6	50	dioecism	external	guarders
Ptereleotris randalli	elongated	8.699999809	saltwater	reef-associated	8	70	NA	NA	NA
Ptereleotris zebra	elongated	12	saltwater	reef-associated	2	31	NA	NA	NA
Pterocaesio chrysozona	fusiform/normal	21	saltwater	reef-associated	2	25	dioecism	external	nonguarders
Pterocaesio digramma	fusiform/normal	30	saltwater	reef-associated	0	50	dioecism	external	nonguarders
Pterocaesio lativittata	fusiform/normal	23	saltwater	reef-associated	0	50	dioecism	external	nonguarders
Pterocaesio marri	fusiform/normal	35	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Pterocaesio pisang	fusiform/normal	21	saltwater	reef-associated	1	100	dioecism	external	nonguarders
Pterocaesio randalli	fusiform/normal	25	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Pterocaesio tessellata	fusiform/normal	25	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Pterocaesio tile	fusiform/normal	30	saltwater	reef-associated	1	60	dioecism	external	nonguarders
Pterocaesio trilineata	fusiform/normal	20	saltwater	reef-associated	1	30	dioecism	external	nonguarders
Pterogymnus laniarius	fusiform/normal	45	saltwater	benthopelagic	20	150	dioecism	external	nonguarders
Pteroidichthys amboinensis	fusiform/normal	12	saltwater	demersal	3	43	NA	NA	NA
Pterois antennata	fusiform/normal	20	saltwater	reef-associated	2	86	NA	NA	NA
Pterois lunulata	fusiform/normal	35	saltwater	reef-associated	132	172	NA	NA	NA
Pterois miles	fusiform/normal	43	saltwater	reef-associated	0	85	NA	NA	NA
Pterois mombasae	fusiform/normal	20	saltwater	reef-associated	10	70	NA	NA	NA
Pterois radiata	fusiform/normal	24	saltwater	reef-associated	1	30	NA	NA	NA
Pterois russelii	fusiform/normal	30	saltwater/brack	reef-associated	15	60	NA	NA	NA
Pterois volitans	fusiform/normal	45.70000076	saltwater	reef-associated	2	55	dioecism	external	nonguarders
Pteroplatytrygon violacea	other	96	saltwater	pelagic-oceanic	1	381	dioecism	internal(oviduct)	bearers
Pteropsaron natalensis	elongated	3.5	saltwater	demersal	65	175	NA	NA	NA
Pteropsaron neocaledonicus	elongated	4.5	saltwater	demersal	NA	360	NA	NA	NA
Pterotolithus maculatus	elongated	45	saltwater/brack	benthopelagic	10	100	NA	NA	NA
Pterycombus brama	shortand/ordeep	46	saltwater	pelagic-oceanic	25	400	dioecism	external	nonguarders
Pterycombus petersii	shortand/ordeep	36.40000153	saltwater	pelagic-oceanic	0	340	NA	NA	NA
Pterygotrigla andertoni	fusiform/normal	38	saltwater	bathydemersal	90	500	NA	NA	NA
Pterygotrigla draiggoch	fusiform/normal	22.10000038	saltwater	benthopelagic	80	185	NA	NA	NA
Pterygotrigla macrolepidota	fusiform/normal	15	saltwater	demersal	NA	500	NA	NA	NA
Pterygotrigla megalops	fusiform/normal	20	saltwater	bathydemersal	340	500	NA	NA	NA
Pterygotrigla multiocellata	fusiform/normal	24.10000038	saltwater	bathydemersal	178	379	NA	NA	NA
Pterygotrigla robertsi	fusiform/normal	30.70000076	saltwater	bathydemersal	420	511	NA	NA	NA
Pterygotrigla ryukyuensis	fusiform/normal	30	saltwater	demersal	NA	500	NA	NA	NA
Pterygotrigla soela	fusiform/normal	11.01000023	saltwater	benthopelagic	250	348	NA	NA	NA
Pterygotrigla tagala	fusiform/normal	10.88000011	saltwater	bathydemersal	99	330	NA	NA	NA
Pungitius pungitius	elongated	9	saltwater/brack/fresh	benthopelagic	0	110	dioecism	external	guarders
Puntius amphibius	fusiform/normal	20	brack/fresh	benthopelagic	NA	NA	NA	NA	NA
Puntius sophore	fusiform/normal	20	brack/fresh	benthopelagic	NA	NA	dioecism	external	NA
Pycnochromis acares	fusiform/normal	4	saltwater	reef-associated	2	37	dioecism	external	guarders
Pycnochromis agilis	shortand/ordeep	4.900000095	saltwater	reef-associated	12	48	dioecism	external	guarders
Pycnochromis amboinensis	shortand/ordeep	10	saltwater	reef-associated	5	70	dioecism	external	guarders
Pycnochromis atripes	shortand/ordeep	9	saltwater	reef-associated	2	40	dioecism	external	guarders
Pycnochromis caudalis	shortand/ordeep	7.5	saltwater	reef-associated	15	55	dioecism	external	guarders
Pycnochromis delta	shortand/ordeep	7	saltwater	reef-associated	10	80	dioecism	external	guarders
Pycnochromis dimidiatus	shortand/ordeep	9	saltwater	reef-associated	1	36	dioecism	external	guarders
Pycnochromis fieldi	shortand/ordeep	5.099999905	saltwater	reef-associated	1	40	NA	NA	NA
Pycnochromis flavipectoralis	shortand/ordeep	8	saltwater	reef-associated	2	15	dioecism	external	guarders
Pycnochromis iomelas	shortand/ordeep	8	saltwater	reef-associated	3	35	dioecism	external	guarders
Pycnochromis leucurus	fusiform/normal	8.5	saltwater	reef-associated	20	119	dioecism	external	guarders
Pycnochromis lineatus	shortand/ordeep	7	saltwater	reef-associated	2	35	dioecism	external	guarders
Pycnochromis margaritifer	shortand/ordeep	10.19999981	saltwater	reef-associated	2	20	dioecism	external	guarders
Pycnochromis nigrurus	fusiform/normal	6	saltwater	reef-associated	1	30	dioecism	external	guarders
Pycnochromis ovatiformis	shortand/ordeep	10	saltwater	reef-associated	10	40	dioecism	external	guarders
Pycnochromis pacifica	shortand/ordeep	7.599999905	saltwater	reef-associated	5	56	dioecism	external	guarders
Pycnochromis retrofasciatus	shortand/ordeep	6	saltwater	reef-associated	12	120	dioecism	external	guarders
Pycnochromis vanderbilti	fusiform/normal	6	saltwater	reef-associated	2	20	dioecism	external	guarders
Pycnocraspedum squamipinne	shortand/ordeep	29.89999962	saltwater	benthopelagic	200	500	dioecism	external	nonguarders
Pygoplites diacanthus	shortand/ordeep	25	saltwater	reef-associated	0	80	dioecism	external	nonguarders
Pyramodon ventralis	elongated	18.10000038	saltwater	benthopelagic	184	470	dioecism	external	nonguarders
Quassiremus evionthas	eel-like	71	saltwater	reef-associated	3	30	NA	NA	NA
Quassiremus nothochir	eel-like	70	saltwater	demersal	1	20	NA	NA	NA
Quinca mirifica	shortand/ordeep	NA	saltwater	reef-associated	NA	NA	dioecism	external	bearers
Rachycentron canadum	elongated	200	saltwater/brack	reef-associated	0	1200	dioecism	external	NA
Raconda russeliana	fusiform/normal	19	saltwater/brack	pelagic-neritic	NA	NA	NA	NA	NA
Rainfordia opercularis	elongated	15	saltwater	reef-associated	NA	NA	NA	NA	NA
Raja asterias	other	75	saltwater	demersal	2	343	dioecism	internal(oviduct)	nonguarders
Raja brachyura	other	120	saltwater	demersal	10	380	dioecism	internal(oviduct)	nonguarders
Raja clavata	other	105	saltwater	demersal	5	1020	dioecism	internal(oviduct)	nonguarders
Raja microocellata	other	87	saltwater	demersal	NA	100	dioecism	internal(oviduct)	nonguarders
Raja miraletus	other	63	saltwater/brack	demersal	17	462	dioecism	internal(oviduct)	nonguarders
Raja montagui	other	83.5	saltwater	demersal	8	530	dioecism	internal(oviduct)	nonguarders
Raja parva	other(seeremarks)	37.09999847	saltwater	benthopelagic	NA	27	NA	NA	NA
Raja radula	other	70	saltwater	demersal	NA	300	dioecism	internal(oviduct)	nonguarders
Raja straeleni	other	70	saltwater	demersal	80	800	dioecism	internal(oviduct)	nonguarders
Raja undulata	other	100	saltwater	demersal	50	200	dioecism	internal(oviduct)	nonguarders
Randallichthys filamentosus	fusiform/normal	50	saltwater	benthopelagic	150	300	dioecism	external	nonguarders
Raneya brasiliensis	elongated	31	saltwater	demersal	40	150	dioecism	external	nonguarders
Raniceps raninus	fusiform/normal	30	saltwater/brack	demersal	0	100	dioecism	external	nonguarders
Ranzania laevis	shortand/ordeep	100	saltwater	pelagic-oceanic	1	140	dioecism	external	nonguarders
Rasbora daniconius	fusiform/normal	15	brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Rasbora rasbora	fusiform/normal	13	brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Rastrelliger brachysoma	fusiform/normal	34.5	saltwater/brack	pelagic-neritic	15	200	dioecism	external	nonguarders
Rastrelliger faughni	fusiform/normal	20	saltwater	pelagic-neritic	150	NA	dioecism	external	nonguarders
Rastrelliger kanagurta	fusiform/normal	36	saltwater	pelagic-neritic	20	90	dioecism	external	nonguarders
Ratabulus diversidens	elongated	39.09999847	saltwater	demersal	30	345	dioecism	external	nonguarders
Ratabulus fulviguttatus	elongated	26.60000038	saltwater	benthopelagic	126	248	dioecism	external	nonguarders
Redigobius balteatus	fusiform/normal	3.799999952	saltwater/brack/fresh	benthopelagic	0	5	NA	NA	NA
Redigobius bikolanus	fusiform/normal	4.900000095	saltwater/brack/fresh	benthopelagic	0	5	dioecism	external	guarders
Redigobius chrysosoma	fusiform/normal	4.900000095	brack/fresh	benthopelagic	NA	5	dioecism	external	guarders
Redigobius dewaali	fusiform/normal	4.199999809	brack/fresh	benthopelagic	NA	NA	dioecism	NA	guarders
Redigobius tambujon	fusiform/normal	4.5	saltwater/brack/fresh	benthopelagic	0	5	dioecism	external	guarders
Regalecus glesne	eel-like	800	saltwater	pelagic-oceanic	20	1000	dioecism	external	nonguarders
Reicheltia halsteadi	shortand/ordeep	16	saltwater	demersal	NA	NA	NA	NA	NA
Remora albescens	elongated	30	saltwater	pelagic-oceanic	NA	200	dioecism	external	nonguarders
Remora australis	elongated	76	saltwater	pelagic-oceanic	1	50	dioecism	external	nonguarders
Remora brachyptera	elongated	50	saltwater	pelagic-oceanic	NA	NA	dioecism	external	nonguarders
Remora osteochir	elongated	40	saltwater	pelagic-oceanic	NA	200	dioecism	external	nonguarders
Remora remora	elongated	86.40000153	saltwater	reef-associated	0	200	dioecism	external	nonguarders
Repomucenus calcaratus	elongated	22	saltwater	demersal	35	110	dioecism	external	nonguarders
Rexea alisae	elongated	30.89999962	saltwater	benthopelagic	470	580	NA	NA	NA
Rexea antefurcata	elongated	72.5	saltwater	benthopelagic	230	920	NA	NA	NA
Rexea bengalensis	elongated	22	saltwater/brack	benthopelagic	143	820	NA	NA	NA
Rexea prometheoides	elongated	40	saltwater	benthopelagic	135	540	NA	NA	NA
Rexea solandri	elongated	110	saltwater	benthopelagic	100	800	dioecism	external	nonguarders
Rexichthys johnpaxtoni	elongated	22	saltwater	benthopelagic	270	470	NA	NA	NA
Rhabdamia gracilis	fusiform/normal	7.400000095	saltwater	reef-associated	3	91	dioecism	external	bearers
Rhabdamia novaluna	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhabdoblennius nitidus	fusiform/normal	8.300000191	saltwater	reef-associated	0	2	dioecism	external	guarders
Rhabdoblennius snowi	fusiform/normal	7	saltwater	reef-associated	0	3	dioecism	external	guarders
Rhabdosargus globiceps	fusiform/normal	65	saltwater/brack	benthopelagic	NA	100	protogyny	external	nonguarders
Rhabdosargus holubi	fusiform/normal	40	saltwater/brack	demersal	NA	NA	NA	NA	NA
Rhabdosargus sarba	shortand/ordeep	80	saltwater/brack	reef-associated	0	60	dioecism	external	nonguarders
Rhabdosargus thorpei	shortand/ordeep	40	brack/fresh	demersal	NA	NA	NA	NA	NA
Rhadinesthes decimus	elongated	41	saltwater	bathypelagic	0	4900	NA	NA	NA
Rhencus macracanthus	fusiform/normal	37	saltwater/brack	benthopelagic	1	30	dioecism	external	nonguarders
Rhencus panamensis	fusiform/normal	39	saltwater	demersal	10	60	dioecism	external	nonguarders
Rhina ancylostomus	elongated	300	saltwater	reef-associated	3	90	dioecism	internal(oviduct)	bearers
Rhincodon typus	elongated	1700	saltwater	pelagic-oceanic	0	1928	dioecism	internal(oviduct)	bearers
Rhinecanthus aculeatus	shortand/ordeep	30	saltwater	reef-associated	0	50	dioecism	external	guarders
Rhinecanthus assasi	shortand/ordeep	30	saltwater	reef-associated	NA	NA	NA	NA	NA
Rhinecanthus cinereus	shortand/ordeep	16.5	saltwater	reef-associated	NA	NA	NA	NA	NA
Rhinecanthus lunula	shortand/ordeep	28	saltwater	reef-associated	10	30	NA	NA	NA
Rhinecanthus rectangulus	shortand/ordeep	30	saltwater	reef-associated	10	20	dioecism	external	guarders
Rhinecanthus verrucosus	shortand/ordeep	23	saltwater	reef-associated	1	20	dioecism	external	guarders
Rhinobatos annandalei	elongated	89	saltwater/brack	demersal	40	90	dioecism	internal(oviduct)	bearers
Rhinobatos lionotus	elongated	75	saltwater/brack	demersal	70	76	dioecism	internal(oviduct)	bearers
Rhinobatos rhinobatos	elongated	185	saltwater/brack	demersal	0	100	dioecism	internal(oviduct)	bearers
Rhinobatos schlegelii	elongated	100	saltwater	demersal	NA	200	dioecism	internal(oviduct)	bearers
Rhinochimaera africana	elongated	81.80000305	saltwater	bathydemersal	549	1450	dioecism	internal(oviduct)	nonguarders
Rhinochimaera pacifica	elongated	159	saltwater	benthopelagic	330	1490	dioecism	internal(oviduct)	nonguarders
Rhinomugil corsula	fusiform/normal	45	brack/fresh	pelagic	NA	NA	dioecism	external	nonguarders
Rhinomuraena quaesita	eel-like	130	saltwater	reef-associated	1	67	protandry	external	nonguarders
Rhinophichthus penicillatus	eel-like	NA	saltwater	demersal	NA	435	NA	NA	NA
Rhinopias aphanes	shortand/ordeep	25	saltwater	reef-associated	5	30	NA	NA	NA
Rhinopias eschmeyeri	shortand/ordeep	23	saltwater	demersal	18	55	NA	NA	NA
Rhinopias frondosa	shortand/ordeep	23	saltwater	reef-associated	10	297	NA	NA	NA
Rhinoptera bonasus	other	120	saltwater/brack	benthopelagic	0	22	dioecism	internal(oviduct)	bearers
Rhinoptera javanica	other	165	saltwater/brack	reef-associated	NA	NA	dioecism	internal(oviduct)	bearers
Rhinoptera jayakari	other	90	saltwater	benthopelagic	NA	NA	dioecism	internal(oviduct)	bearers
Rhinoptera marginata	other	200	saltwater	benthopelagic	NA	NA	dioecism	internal(oviduct)	bearers
Rhinoptera steindachneri	other	91.59999847	saltwater	reef-associated	0	65	dioecism	internal(oviduct)	bearers
Rhizoprionodon acutus	fusiform/normal	175	saltwater/brack/fresh	benthopelagic	1	200	dioecism	internal(oviduct)	bearers
Rhizoprionodon longurio	fusiform/normal	110	saltwater	benthopelagic	NA	100	dioecism	internal(oviduct)	bearers
Rhizoprionodon porosus	fusiform/normal	113	saltwater/brack/fresh	reef-associated	NA	500	dioecism	internal(oviduct)	bearers
Rhizoprionodon taylori	fusiform/normal	69.09999847	saltwater	pelagic-oceanic	NA	300	dioecism	internal(oviduct)	bearers
Rhizoprionodon terraenovae	fusiform/normal	110	saltwater/brack	demersal	0	280	dioecism	internal(oviduct)	bearers
Rhomboplites aurorubens	fusiform/normal	60	saltwater	demersal	40	300	dioecism	external	nonguarders
Rhonciscus bayanus	fusiform/normal	51	saltwater/brack/fresh	benthopelagic	NA	NA	dioecism	external	nonguarders
Rhonciscus branickii	NA	NA	NA	NA	NA	NA	NA	NA	NA
Rhyacichthys guilberti	elongated	18	saltwater/brack/fresh	demersal	0	5	NA	NA	NA
Rhynchobatus australiae	elongated	124	saltwater	demersal	0	60	dioecism	internal(oviduct)	bearers
Rhynchobatus djiddensis	elongated	310	saltwater/brack	reef-associated	1	75	dioecism	internal(oviduct)	bearers
Rhynchobatus laevis	elongated	270	saltwater	demersal	0	60	dioecism	internal(oviduct)	bearers
Rhynchobatus luebberti	elongated	300	saltwater	demersal	0	35	dioecism	internal(oviduct)	bearers
Rhynchobatus palpebratus	elongated	262	saltwater	demersal	5	61	NA	NA	NA
Rhynchoconger nitens	eel-like	40	saltwater	demersal	20	104	NA	NA	NA
Rhynchohyalus natalensis	shortand/ordeep	16	saltwater	pelagic-oceanic	NA	775	NA	NA	NA
Rhynchorhamphus georgii	elongated	31	saltwater/brack/fresh	pelagic-neritic	0	NA	NA	NA	NA
Rhynchostracion nasus	shortand/ordeep	30	saltwater	reef-associated	2	80	dioecism	external	nonguarders
Ribeiroclinus eigenmanni	elongated	9.199999809	saltwater	benthopelagic	NA	17	NA	NA	NA
Richardsonichthys leucogaster	shortand/ordeep	10	saltwater	reef-associated	8	90	NA	NA	NA
Rioraja agassizii	other	33	saltwater	demersal	NA	130	dioecism	internal(oviduct)	nonguarders
Risor ruber	fusiform/normal	2.5	saltwater	reef-associated	NA	NA	NA	NA	NA
Roa jayakari	shortand/ordeep	16	saltwater	reef-associated	33	274	dioecism	external	nonguarders
